Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,206995,5939,142049.0,59007.0,4609,132,230861.0,5140.0,44913918
Angola,64612,1719,57493.0,5400.0,1887,50,1092363.0,31907.0,34236049
Benin,24804,161,24346.0,297.0,1977,13,604310.0,48156.0,12548939
Botswana,192935,2407,188000.0,2528.0,79879,997,1828618.0,757085.0,2415342
Burkina Faso,15103,221,14661.0,221.0,697,10,226312.0,10443.0,21671636
Burundi,20106,38,773.0,19295.0,1626,3,345742.0,27961.0,12365357
Cabo Verde,38242,349,37781.0,112.0,67793,619,211166.0,374341.0,564100
Cameroon,104348,1731,80433.0,22184.0,3804,63,1751774.0,63859.0,27431975
CAR,11579,100,6859.0,4620.0,2343,20,60228.0,12186.0,4942494
Chad,5105,175,4874.0,56.0,299,10,148082.0,8681.0,17057585
Comoros,4307,147,4093.0,67.0,4815,164,,,894454
Congo,17944,297,12421.0,5226.0,3148,52,188207.0,33017.0,5700231
Djibouti,13491,183,13269.0,39.0,13393,182,238396.0,236669.0,1007295
DRC,57605,1098,50930.0,5577.0,618,12,306299.0,3286.0,93209868
Egypt,335673,18949,281864.0,34860.0,3199,181,3693367.0,35200.0,104924897
Equatorial Guinea,13407,168,12918.0,321.0,9153,115,242340.0,165451.0,1464726
Eritrea,6910,45,6744.0,121.0,1913,12,23693.0,6559.0,3612342
Eswatini,46455,1243,45149.0,63.0,39492,1057,374074.0,318008.0,1176304
Ethiopia,366783,6517,342562.0,17704.0,3088,55,3729296.0,31396.0,118782354
Gabon,36020,249,29170.0,6601.0,15687,108,1336883.0,582222.0,2296174
Gambia,9973,341,9618.0,14.0,3977,136,118928.0,47426.0,2507671
Ghana,130391,1188,127702.0,1501.0,4082,37,1873852.0,58662.0,31943225
Guinea,30681,385,29571.0,725.0,2254,28,567389.0,41688.0,13610335
Guinea-Bissau,6150,143,5700.0,307.0,3029,70,103489.0,50970.0,2030387
Ivory Coast,61387,698,60171.0,518.0,2252,26,1092753.0,40095.0,27254230
Kenya,253737,5296,247202.0,1239.0,4583,96,2730639.0,49325.0,55360261
Lesotho,21677,659,12735.0,8283.0,10012,304,242620.0,112061.0,2165073
Liberia,5815,287,5458.0,70.0,1115,55,128246.0,24582.0,5217122
Libya,360266,5186,304803.0,50277.0,51490,741,1812030.0,258980.0,6996787
Madagascar,43632,964,41322.0,1346.0,1523,34,249510.0,8710.0,28645531
Malawi,61803,2302,57760.0,1741.0,3123,116,428269.0,21638.0,19792749
Mali,16294,571,14709.0,1014.0,775,27,460292.0,21885.0,21032580
Mauritania,37608,801,36127.0,680.0,7813,166,487348.0,101246.0,4813518
Mauritius,18314,199,1854.0,16261.0,14368,156,358675.0,281401.0,1274606
Morocco,947139,14701,928222.0,4216.0,25258,392,10160887.0,270969.0,37498285
Mozambique,151352,1933,149298.0,121.0,4667,60,946954.0,29201.0,32429184
Namibia,128985,3560,125044.0,381.0,49559,1368,757005.0,290857.0,2602671
Niger,6434,220,6077.0,137.0,254,9,173493.0,6836.0,25379813
Nigeria,212511,2902,204184.0,5425.0,998,14,3340313.0,15683.0,212991093
Rwanda,99898,1332,45515.0,53051.0,7465,100,3187087.0,238148.0,13382777
Sao Tome and Principe,3720,56,3627.0,37.0,16561,249,14689.0,65395.0,224621
Senegal,73933,1880,72038.0,15.0,4265,108,845517.0,48774.0,17335504
Seychelles,22220,119,21952.0,149.0,224071,1200,21504.0,216851.0,99165
Sierra Leone,6396,121,4393.0,1882.0,781,15,160729.0,19614.0,8194658
Somalia,22693,1294,10767.0,10632.0,1376,78,262138.0,15899.0,16487575
South Africa,2923393,89295,2816018.0,18080.0,48470,1481,18670029.0,309552.0,60313137
South Sudan,12453,133,12008.0,312.0,1095,12,247059.0,21729.0,11370029
Sudan,40238,3099,32905.0,4234.0,890,69,238579.0,5276.0,45222484
Tanzania,26196,725,,,422,12,,,62014670
Togo,26107,243,25746.0,118.0,3057,28,554272.0,64911.0,8538971
Tunisia,713154,25267,686713.0,1174.0,59505,2108,3091094.0,257918.0,11984779
Uganda,126407,3224,96815.0,26368.0,2651,68,1830185.0,38388.0,47676302
Zambia,209852,3662,206008.0,182.0,11002,192,2621402.0,137433.0,19074071
Zimbabwe,133112,4685,127876.0,551.0,8784,309,1521488.0,100405.0,15153482
